ID,Title,Category,Price,Sold,Inventory,Description,Material,Size,Preserve,Img
1,手作繡球乾燥花卡片,card,250,0,150,一朵朵小花聚集在一起，有著「家族團聚」象徵的繡球花，是家庭圓滿的代表物。贈送小小的繡球乾燥花卡片給親愛的家人，表達你大大的祝福吧！,乾燥繡球、水晶花,寬9cm高12cm,"請放置通風、乾燥處，避免陽光直射。
若要清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/card/hydrangea.jpg
2,手作紫色滿天星乾燥花卡片,card,250,0,150,紫色滿天星溫柔且優雅，有著低調柔美的暖意。送給親人或戀人，可以表示自己的思念之情，也可以讓他們感受到你純潔的心靈！,滿天星、乾燥繡球、卡斯比亞,寬9cm高11.5cm,"請放置通風、乾燥處，避免陽光直射。
若要清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/card/purple-babybreath.jpg
3,法國白梅乾燥花卡片,card,150,0,150,法國白梅為菊科植物，不是梅花喔~有一身雪白清新的外表，花語是典雅的品味和純潔，帶給人和諧優雅之感。適合送給身邊任何你珍惜的人，但願你們的情誼能夠長存，永遠不變！,法國白梅、進口乾燥葉材、卡斯比亞、美國黑卡紙、進口美術紙、透明PVC包裝盒,寬9cm高12cm,"請放置通風、乾燥處，避免陽光直射。
若要清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/card/white-babybreath.jpg
4,白滿天星乾燥花卡片,card,150,0,150,白滿天星的花語是「愛你更勝過自己」。給愛戀的人一張白滿天星乾燥花卡片，寫下你對他最誠摯的感情，讓對方感受到你的浪漫與真心！,滿天星、美國黑卡紙、進口美術紙、透明PVC包裝盒,寬9cm高12cm,"請放置通風、乾燥處，避免陽光直射。
若要清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/card/oxeye-daisy.jpg
5,手作棉花卡片,card,200,0,150,棉花適合拿來當作畢業花束，祝福畢業生能擁有亮麗的前程，也希望畢業生能將所有的美好回憶珍藏到永遠！,棉花、迦納利、木滿天星、卡斯比亞、美國黑卡紙、進口美術紙、麻繩,12cm x 12cm,"請放置通風、乾燥處，避免陽光直射。
若要清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/card/cotton.jpg
6,手作粉滿天星乾燥花卡片,card,150,0,150,粉滿天星的花語是青澀的愛，送給暗戀的人最為合適！寫一張粉滿天星的乾燥花卡片，表現出濃濃的情意給對方，展現自己的純情與浪漫。,滿天星,寬9cm高11.5cm,"請放置通風、乾燥處，避免陽光直射。
若要清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/card/pink-babybreath.jpg
7,粉玫瑰永生花束,bouquet,2180,0,100,粉玫瑰有著一點紅玫瑰的熱情，又帶著一點白玫瑰的純真。喜歡對方的燦爛微笑，想與對方表達真摯的感情，選擇粉玫瑰，會讓對方難以忘懷！,永生玫瑰 卡斯比亞 棉花,"寬 32cm高 48cm
內容物：花束*1 空白卡片*1","請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~2年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/bouquet/pink-rose.jpg
8,白玫瑰永生花束,bouquet,3880,0,100,古希臘神話中，白玫瑰是集愛與美於一身的女神象徵。可以向對方表達純潔愛意，讓對方知道「你是我的！」。配上雪白的花束包裝，有種貞潔且脫俗之感。,永生玫瑰、永生蓬萊松,"寬 32cm高 48cm
內容物：花束*1 空白卡片*1","請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~2年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/bouquet/white-rose.jpg
9,紫向日葵乾燥花束,bouquet,550,0,100,紫色向日葵的花語是信念與光輝，也代表對生活的熱愛，可以讓你更相信自己，更勇敢地追求夢想和幸福！紫色向日葵也有默默等待的意涵，送給愛慕對象紫向日葵乾燥花束，並表示自己永遠對他忠誠！,香皂向日葵、乾燥滿天星、乾燥尤加利葉、永生加那利、永生蓬萊松,包裝全寬約25cm，全長約35cm,"乾燥花請放置通風、乾燥處，避免陽光直射。
避免花材彼此碰撞及遭其他物品擠壓。
定期清理灰塵，可用吹風機微弱涼風吹散。",images/bouquet/purple-sunflower.jpg
10,黃向日葵乾燥花束,bouquet,1000,0,100,黃向日葵有著「你永遠是我的陽光，勇敢追求所愛！」的浪漫花語，本身也帶有朝氣與開朗之感。有了黃向日葵乾燥花束，前途一片光明又繽紛多彩！,香皂向日葵、乾燥滿天星、乾燥尤加利葉、不凋日本芒草,"花面寬度約20cm
包裝全寬約24cm，全長約43cm","乾燥花請放置通風、乾燥處，避免陽光直射。
避免花材彼此碰撞及遭其他物品擠壓。
定期清理灰塵，可用吹風機微弱涼風吹散。",images/bouquet/yellow-sunflower.jpg
11,黑玫瑰永生花束,bouquet,3290,0,100,動人愛情的象徵，溫柔真心、獨一無二~黑玫瑰外表雖不絢麗多彩，但可感受到其內心的鋒芒。神祕而獨特且「內在美」十足，唯有心領神會之人，才能發覺黑玫瑰的五彩斑斕。,永生玫瑰以及其他不凋和乾燥配花,整體尺寸?約長 36cm 寬 24cm 高 44cm,"請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~2年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/bouquet/black-rose.jpg
12,彩色滿天星乾燥花束,bouquet,550,0,100,清麗可愛的小花球，盛開的樣子猶如夜空中的繁星。滿天星乾燥花束，送給你真心喜歡的人，讓對方知道你對他的思念與關懷，守護你們之間最清純的愛情！,乾燥滿天星、乾燥卡斯比亞,"全長約32cm
花面寬約15cm","乾燥花請放置通風、乾燥處，避免陽光直射。
避免花材彼此碰撞及遭其他物品擠壓。
定期清理灰塵，可用吹風機微弱涼風吹散。",images/bouquet/baby-breath.jpg
13,非洲菊乾燥花束,bouquet,1480,0,100,象徵有毅力且不畏艱難的非洲菊，充滿溫暖正向的力量。無論是親人、愛人或朋友，都可以送一束非洲菊乾燥花束，祝福他能永遠開朗、快樂過每一天。,索拉非洲菊、永生繡球,"寬 33cm高 48cm
內容物：花束*1 空白卡片*1","乾燥花請放置通風、乾燥處，避免陽光直射。
避免花材彼此碰撞及遭其他物品擠壓。
定期清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/bouquet/gerbera.jpg
14,白向日葵乾燥花束,bouquet,1280,0,100,白色向日葵代表著光輝、自信和勇敢追求，向心儀的對象表白，送上白向日葵乾燥花束，讓對方看出你的陽光吧！,索拉太陽花 棉花 永生尤加利葉,"寬 32cm高 48cm
內容物：花束*1 空白卡片*2","乾燥花請放置通風、乾燥處，避免陽光直射。
避免花材彼此碰撞及遭其他物品擠壓。
定期清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/bouquet/white-sunflower.jpg
15,黃色鬱金香乾燥花束,bouquet,2880,0,100,黃鬱金香的花語是開朗、高雅與寶貴。優雅的外型，配上擁有溫暖力量的黃色，給人一種貴氣之感!送給戀人或朋友，希望他能隨時保持積極樂觀，也能代表你們珍貴的感情。,滿天星、卡斯比亞、尤加利葉、兔尾草、索拉花(鬱金香造型),寬36cm 高48cm,"乾燥花請放置通風、乾燥處，避免陽光直射。
避免花材彼此碰撞及遭其他物品擠壓。
定期清理灰塵，可用吹風機微弱涼風吹散或使用軟毛刷輕刷。",images/bouquet/yellow-tulip.jpg
16,粉康乃馨永生玻璃大花盅,glass,1980,0,80,粉康乃馨可表達自己心中對於母親深深的親情，希望母親永遠美麗迷人，不會老去。存放在金色底座的玻璃花盅，顯得更加美麗動人！,永生康乃馨、永生繡球,整體尺寸寬約 12cm 高 17cm?(手工測量誤差±2cm),"請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~2年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/glass/pink-carnation.jpg
17,紫玫瑰永生玻璃花盅小夜燈,glass,1980,0,80,紫玫瑰高貴且純潔，夢幻、浪漫真情的象徵，代表成熟的愛。「紫」是愛你！全世界只對你有感覺~~盅罩裡有燈，珍貴獨特的你，可以隨時開啟燈光，讓心情更加愉悅！,永生玫瑰、永生繡球,總寬約 10cm? 總高17cm (手工測量誤差±1CM),"請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~3年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/glass/purple-rose.jpg
18,紅玫瑰永生長型玻璃花盅,glass,2990,0,80,紅玫瑰象徵熱情，魅力四射，如果有交往已久或是暗戀許久想要表白對象，紅玫瑰是最佳選擇，代表著想和對方永遠在一起，且永遠不變！可發光當作小夜燈，紅玫瑰玻璃花盅會一直陪伴在你左右！,永生玫瑰、永生繡球以及其他不凋或乾燥配花,總寬約 14 cm? 總高24 cm,"請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~4年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/glass/red-rose.jpg
19,藍玫瑰永生圓球玻璃花盅,glass,2790,0,80,藍玫瑰的花語是清純的愛和敦厚善良，也代表和你相遇是個奇蹟！送給心愛的人藍玫瑰花盅小夜燈，把這段美麗的愛情故事銘記在心吧~,永生玫瑰、永生繡球以及其他不凋或乾燥配花,?總寬約 14 .5 cm? 總高 26 cm,"請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~5年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/glass/blue-rose.jpg
20,橘玫瑰永生圓形玻璃花盅,glass,1990,0,80,橘玫瑰的花語是友情和青春魅力。結交知交好友，是生活中一大樂事！在特別的日子贈送橘玫瑰玻璃花盅小夜燈給朋友，一起回憶青春往事，這段友誼也將畢生難忘！,永生玫瑰、永生繡球以及其他不凋或乾燥配花,總寬約 11 cm  總高 13 cm,"請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~6年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/glass/orange-rose.jpg
21,黃玫瑰永生花玻璃盅罩,glass,2000,0,80,黃玫瑰代表純真的友情，可以送給身邊值得你珍惜的朋友，來表達你對他最美好的祝福~,永生黃玫瑰、永生滿天星、進口永生繡球,總寬約 10 cm  總高 15 cm,"請保持乾燥並放在通風處，避免受到潮濕。
永生花可存放1~7年。
定期用毛刷將灰塵清理，可維持永生花的色澤及光彩。",images/glass/yellow-rose.jpg
